UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11
0020049T;BTS - Services - Management Commercial Opérationnel;32211031213;604;Scolaire;35;32031213;32031213;FAUX;32211031213
0020049T;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;215;Apprentissage;12;32031213;32031213;FAUX;32211031213
0020050U;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;84;Scolaire;15;32022316;32022316;FAUX;32211022316
0020050U;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;110;Scolaire;15;32020111;32020111;FAUX;32211020111
0020050U;BTS - Production - Electrotechnique;32211025520;189;Scolaire;30;32025520;32025520;FAUX;32211025520
0020050U;BTS - Production - Systèmes numériques - Option informatique et réseaux;32211020112;307;Scolaire;15;32020112;32020112;FAUX;32211020112
0020050U;BTS - Services - Collaborateur juriste notarial;32211034502;652;Scolaire;24;32034502;32034502;FAUX;32211034502
0020050U;BTS - Services - Comptabilité et gestion;32211031408;281;Scolaire;35;32031408;32031408;FAUX;32211031408
0020050U;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;238;Apprentissage;15;32031212;32031212;FAUX;32211031212
0020050U;BTS - Services - Support à l'action managériale;32211032409;254;Scolaire;35;32032409;32032409;FAUX;32211032409
0020052W;BTS - Production - Etude et réalisation d'agencement;32211023305;277;Scolaire;15;32023305;32023305;FAUX;32211023305
0020059D;BTS - Services - Comptabilité et gestion;32211031408;691;Scolaire;35;32031408;32031408;FAUX;32211031408
0020059D;BTS - Services - Management Commercial Opérationnel;32211031213;353;Scolaire;35;32031213;32031213;FAUX;32211031213
0020059D;BTS - Services - Support à l'action managériale;32211032409;345;Scolaire;35;32032409;32032409;FAUX;32211032409
0020060E;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;32212021014;202;Scolaire;16;32021014;32021014;FAUX;32212021014
0020060E;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;32212031203;131;Scolaire;17;32031203;32031203;FAUX;32212031203
0020078Z;BTS - Services - Tourisme - en apprentissage;32211033426;139;Apprentissage;14;32033426;32033426;FAUX;32211033426
0021476U;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;119;Scolaire;15;32020111;32020111;FAUX;32211020111
0021476U;BTS - Production - Conception et réalisation en chaudronnerie industrielle;32211025415;64;Scolaire;15;32025415;32025415;FAUX;32211025415
0021502X;BTS - Services - Gestion de la PME - en apprentissage;32211031409;41;Apprentissage;;32031409;32031409;FAUX;32211031409
0021502X;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;91;Apprentissage;;32031213;32031213;FAUX;32211031213
0021502X;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;6;Apprentissage;;32033422;32033422;FAUX;32211033422
0021502X;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;89;Apprentissage;;32031212;32031212;FAUX;32211031212
0021502X;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;11;Apprentissage;;32032409;32032409;FAUX;32211032409
0021522U;BTS - Agricole - productions animales;32212021205;292;Scolaire;36;32021205;32021205;FAUX;32212021205
