UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11;nb_apparitions
0021873A;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;45;Apprentissage;15;32031408;32031408;FAUX;32211031408;1
0021873A;BTS - Services - Gestion de la PME;32211031409;80;Scolaire;18;32031409;32031409;FAUX;32211031409;1
0021873A;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;78;Apprentissage;15;32031213;32031213;FAUX;32211031213;1
0021874B;BTS - Services - Assurance;32211031311;159;Scolaire;18;32031311;32031311;FAUX;32211031311;1
0021874B;BTS - Services - Communication;32211032003;303;Scolaire;35;32032003;32032003;FAUX;32211032003;1
0021874B;BTS - Services - Management Commercial Opérationnel;32211031213;143;Scolaire;18;32031213;32031213;FAUX;32211031213;1
0021874B;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;16;Apprentissage;20;32031213;32031213;FAUX;32211031213;1
0021906L;BTS - Production - Maintenance des véhicules option voitures particulières - en apprentissage;32211025215;53;Apprentissage;15;32025215;32025215;FAUX;32211025215;1
0021906L;BTS - Services - Management opérationnel de la sécurité;32211034401;130;Scolaire;35;32034401;32034401;FAUX;32211034401;1
0021906L;BTS - Services - Management opérationnel de la sécurité - en apprentissage;32211034401;54;Apprentissage;20;32034401;32034401;FAUX;32211034401;1
0021906L;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;94;Apprentissage;20;32031212;32031212;FAUX;32211031212;1
0021907M;BTS - Services - Economie sociale familiale - en apprentissage;32211033206;35;Apprentissage;15;32033206;32033206;FAUX;32211033206;1
0021908N;BTS - Agricole - Développement, animation des territoires ruraux - en apprentissage;32212030001;15;Apprentissage;20;32030001;32030001;FAUX;32212030001;1
0021939X;BTS - Production - Electrotechnique;32211025520;321;Scolaire;30;32025520;32025520;FAUX;32211025520;1
0021939X;BTS - Production - Electrotechnique - en apprentissage;32211025520;40;Apprentissage;6;32025520;32025520;FAUX;32211025520;1
0022022M;BTS - Services - Economie sociale familiale;32211033206;75;Scolaire;35;32033206;32033206;FAUX;32211033206;1
0022022M;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;4;Apprentissage;28;32031213;32031213;FAUX;32211031213;1
0022041H;BTS - Agricole - Technico-commercial - Spécialité alimentation et boisson - en apprentissage;32212031205;16;Apprentissage;12;32031205;32031205;FAUX;32212031205;1
0022041H;BTS - Agricole - Technico-commercial - Spécialité biens et services pour l'agriculture - en apprentissage;32212031204;22;Apprentissage;12;32031204;32031204;FAUX;32212031204;1
0022041H;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie - en apprentissage;32212031203;30;Apprentissage;8;32031203;32031203;FAUX;32212031203;1
0022041H;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux - en apprentissage;32212031202;20;Apprentissage;12;32031202;32031202;FAUX;32212031202;1
0022042J;BTS - Services - Economie sociale familiale;32211033206;266;Scolaire;18;32033206;32033206;FAUX;32211033206;1
0022044L;BTS - Production - Bâtiment - en apprentissage;32211023012;89;Apprentissage;15;32023012;32023012;FAUX;32211023012;1
0022044L;BTS - Production - Management économique de la construction - en apprentissage;32211023013;33;Apprentissage;15;32023013;32023013;FAUX;32211023013;1
0022044L;BTS - Production - Systèmes constructifs bois et habitat - en apprentissage;32211023412;53;Apprentissage;15;32023412;32023412;FAUX;32211023412;1
0022044L;BTS - Services - Management en hôtellerie restauration;32211033422;80;Scolaire;30;32033422;32033422;FAUX;32211033422;1
0022108F;BTS - Services - Professions immobilières - en apprentissage;32211031309;140;Apprentissage;25;32031309;32031309;FAUX;32211031309;1
0022130E;BTS - Agricole - Agronomie et cultures durables - en apprentissage;32212021115;42;Apprentissage;15;32021115;32021115;FAUX;32212021115;1
0022130E;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;56;Apprentissage;20;32021401;32021401;FAUX;32212021401;1
0030026M;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;75;Scolaire;15;32022316;32022316;FAUX;32211022316;1
