Commission professionnelle consultative;Secteur;Sous-secteur;Niveau;Code diplôme;Diplôme;Intitulé de la spécialité (et options);Code RNCP;Date de l'arrêté de création;Première session;Dernière session;Commentaire
CPC Services et produits de consommation;Secteur;Sous-secteur;Niveau 4;400-33606 T;BAC PRO;Esthétique Cosmétique Parfumerie;36331;2021-12-29;2025;;Remplace le n°400-33603 T
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 4;400-23408 P;BAC PRO;Etude et réalisation d'agencement;11934;2011-04-07;2014;;"Précédent initulé : """"Agencement de l'espace architectural"""""
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25214 R;BAC PRO;Maintenance des véhicules option A - voitures particulières;19117;2014-03-19;2017;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25215 R;BAC PRO;Maintenance des véhicules option B - véhicules de transport routier;19117;2014-03-19;2017;;.
CPC Mer et navigation intérieure;Secteur;Sous-secteur;Niveau 4;400-25009 R;BAC PRO;Maintenance nautique;5860;2008-04-17;2010;2025;est remplacé par le n° 40025223R
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-23303 B;BAC PRO;Menuiserie aluminium-verre;4431;2006-05-09;2008;;.
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;400-24303 S;BAC PRO;Métiers du cuir option sellerie garnissage;31084;2016-01-05;2018;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-25006 S;BAC PRO;Microtechniques;2832;2003-12-23;2006;;A l'étude
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 4;400-20009 N;BAC PRO;Modélisation et prototypage 3D;36191;2022-01-18;2025;;Remplace le n°400-20002 N (Etudes et définitions de produits industriels)
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 4;400-33602 T;BAC PRO;Perruquier posticheur;10304;2010-04-08;2012;;.
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 4;400-32304 V;BAC PRO;Photographie;37233;2012-02-09;2015;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25408 R;BAC PRO;Réparation des carrosseries;5859;2008-04-18;2010;2025;remplacé par le 40025412R session supplémentaire 2026
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 4;400-23404 S;BAC PRO;Technicien constructeur bois;2835;2005-07-11;2007;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-22705 S;BAC PRO;Technicien gaz;34745;2017-03-02;2020;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;400-23103 P;BAC PRO;Technicien géomètre topographe;4895;2007-03-20;2009;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-25108 S;BAC PRO;Technicien modeleur;421;2004-02-16;2006;;.
CPC Mer et navigation intérieure;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;400-31109 U;BAC PRO;Transport fluvial;37915;2013-04-11;2015;2026;Rénovation en cours
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;400-23102 S;BAC PRO;Travaux publics;4420;2005-07-11;2007;2025;remplacé par le 40023210S
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;40023210S;BAC PRO;Travaux publics;37385;2023-01-17;2026;;remplace le 400-23102 S
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 4;401-23410 V;BMA;Technicien en facture instrumentale option guitare;36340;2003-07-08;2005;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 4;401-23411 V;BMA;Technicien en facture instrumentale option piano;36340;2003-07-08;2005;;.
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;450-34401 T;BP;Agent technique de prévention et de sécurité;965;1997-09-03;1998;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 4;450-22107 S;BP;Charcutier-traiteur;37559;1998-12-03;2000;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 4;450-22202 U;BP;Conducteur d'appareils des industries chimiques;418;2003-06-06;2005;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-23213 S;BP;Couvreur;32239;2015-04-28;2017;;.
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;450-31207 T;BP;Fleuriste;36005;2021-05-03;2024;;Remplace le n°450-31206
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;450-22306 V;BP;Gemmologue;37311;1999-07-27;2000;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;450-23216 S;BP;Maçon;31210;2018-04-03;2020;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-23313 S;BP;Menuisier aluminium-verre;31275;2014-03-12;2016;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-25411 S;BP;Métallier;32231;2014-03-12;2016;;-
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;450-23214 S;BP;Métiers de la pierre;32230;2015-06-24;2017;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-23315 S;BP;Peintre applicateur de revêtements;32235;2016-05-13;2018;;.
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;450-20101 U;BP;Pilote d'installation de production par procédés;37239;1998-09-09;1999;;.
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;450-33405 T;BP;Sommelier;1012;1997-09-03;1998;2024;remplacé par le 45033408T session supplémentaire 2025
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 5;320-25302 M;BTS;Aéronautique;37706;2009-04-09;2011;;en rénovation
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33109 S;BTS;Analyses de biologie médicale;5298;2007-06-19;2009;;Rénovation
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-31408 T;BTS;Comptabilité et gestion;35521;2014-11-03;2017;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-22318 N;BTS;Conception des processus de réalisation de produits option A production unitaire;37464;2016-02-16;2018;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 5;320-20113 R;BTS;Contrôle industriel et régulation automatique;35384;2016-02-16;2018;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 5;320-23205 P;BTS;Enveloppe des bâtiments : conception et réalisation;35461;2016-02-16;2018;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 5;320-22506 S;BTS;Europlastics et composites à référentiel commun européen option pilotage et optimisation de la production;35333;2016-02-29;2018;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 5;320-23306 P;BTS;Finitions, aménagement des bâtiments : conception et réalisation;35809;2020-12-11;2023;;Remplace le n°320-23304
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 5;320-22710 M;BTS;Fluides-énergies-domotique option B froid et conditionnement d'air;20807;2014-02-26;2016;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-25015 R;BTS;Maintenance des systèmes option B systèmes énergétiques et fluidiques;36968;2022-01-24;2024;;Remplace le n°320-25011 R
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25216 R;BTS;Maintenance des véhicules option B : véhicules de transport routier;35460;2016-02-11;2018;;.
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 5;320-33424 P;BTS;Management en hôtellerie et restauration option B management d'unité de production culinaire;37889;2018-02-15;2020;;.
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 5;320-33425 P;BTS;Management en hôtellerie et restauration option C management d'hébergement;37889;2018-02-15;2020;;.
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32328 P;BTS;Métiers de l'audiovisuel option gestion de la production;37019;2013-06-04;2016;;.
CPC Industrie;Secteur;Sous-secteur;Niveau 5;320-25219 R;BTS;Motorisation toutes énergies;36966;2022-01-24;2024;;Remplace le n° 320-25214 R
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 5;320-31212 T;BTS;Négociation et digitalisation de la relation client;34030;2018-02-19;2020;;-
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32325 T;BTS;Photographie;36970;2010-03-26;2012;;.
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33001 P;BTS;Services et prestations des secteurs sanitaire et social;36939;2007-06-19;2022;;Rénovation
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-32614 T;BTS;Services informatiques aux organisations option B solutions logicielles et applications métiers;35340;2019-04-29;2022;;.
