Commission professionnelle consultative;Secteur;Sous-secteur;Niveau;Code diplôme;Diplôme;Intitulé de la spécialité (et options);Code RNCP;Date de l'arrêté de création;Première session;Dernière session;Commentaire
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-20111 N;BTS;Conception et réalisation des systèmes automatiques;37115;2011-06-23;2013;;.
CPC Industrie;Secteur Bois et dérivés;Sous-secteur;Niveau 5;320-23411 M;BTS;Développement et réalisation bois;9074;2010-05-04;2012;;.
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33103 T;BTS;Diététique;35523;1987-11-06;1989;;A l'étude
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 5;320-22711 M;BTS;Fluides-énergies-domotique option C domotique et bâtiments communicants;20807;2014-02-26;2016;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-22314 M;BTS;Fonderie;35345;2016-02-16;2018;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 5;320-23109 M;BTS;Géologie appliquée;35337;2019-03-05;2021;;-
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 5;320-31103 T;BTS;Gestion des transports et logistique associée;35400;2018-10-11;2021;;-
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 5;320-22404 S;BTS;Industries céramiques;1066;1997-09-03;1998;2024;est remplacé par le 320-22406 S
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32331 P;BTS;Métiers de l'audiovisuel option techniques d'ingénierie et exploitation des équipements;37022;2013-06-04;2016;;.
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 5;320-33604 T;BTS;Métiers de l'esthétique-cosmétique-parfumerie, option B formation-marques;20693;2012-10-30;2015;2024;remplacé par le 320-33610 T
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 5;320-33610 T;BTS;Métiers de l'esthétique-cosmétique-parfumerie, option B formation-marques;37375;2022-12-09;2025;;remplace le 320-33604 T
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 5;320-33607 T;BTS;Métiers de la coiffure;20687;2014-02-26;2016;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 5;320-34304 R;BTS;Métiers des services à l'environnement;20692;2013-04-08;2015;;.rénovation
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 5;320-22003 N;BTS;Pilotage de procédés;34830;2016-02-11;2018;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-25519 M;BTS;Systèmes photoniques;35394;2015-06-03;2017;;Rénovation en cours
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-22312 M;BTS;Traitements des matériaux option b : traitements de surfaces;1185;2001-08-06;2003;;.
CPC Services aux entreprises;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 3;500-34301 T;CAP;Agent de la qualité de l'eau;508;1990-08-23;1992;;rénovation
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25133 R;CAP;Agent vérificateur d'appareils extincteurs;509;2004-10-21;2006;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22427 V;CAP;Arts et techniques du verre option décorateur sur verre;37302;1994-08-29;1996;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22351 V;CAP;Bronzier option C - tourneur sur bronze;532;1977-07-13;1979;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22130 S;CAP;Charcutier-traiteur;37532;1999-10-25;2001;;Rénovation en cours
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22353 V;CAP;Emailleur d'art sur métaux;566;1980-02-28;1981;;.
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31107 T;CAP;Emballeur professionnel;567;1983-09-29;1985;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;50023328S;CAP;Etancheur du bâtiment et des travaux publics;37892;2022-08-29;2025;;Remplace le 500-23321 S
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 3;500-31223 T;CAP;Fleuriste;31293;2018-02-16;2020;;.
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25221 R;CAP;Maintenance des matériels option A - matériels agricoles;29656;2016-03-24;2018;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25218 R;CAP;Maintenance des véhicules option A - voitures particulières;19118;2014-04-22;2016;;.
CPC Mer et navigation intérieure;Secteur;Sous-secteur;Niveau 3;50025224R;CAP;Maintenance nautique;37670;2023-03-30;2025;;remplace le 500-25217 R
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-21305 W;CAP;Mareyage;37536;1996-08-19;1997;;.
CPC Industrie;Secteur Bois et dérivés;Sous-secteur;Niveau 3;500-23447 S;CAP;Menuisier fabricant;36112;2020-11-20;2023;;Remplace le n°500-23441
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-25439 S;CAP;Métallier;37897;2021-03-30;2023;;Remplace le n°500-25431
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-25521 S;CAP;Métiers de l'enseigne et de la signalétique;572;2007-10-16;2009;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Gravure;Niveau 3;500-32223 S;CAP;Métiers de la gravure option D - marquage poinçonnage;625;1993-03-09;1995;;.
CPC Construction;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-23302 S;CAP;Monteur en isolation thermique et acoustique;633;1987-06-15;1988;2024;Session supplémentaire en 2025 pour les ajournés
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 3;500-33106 S;CAP;Opérateur en appareillage orthopédique - Spécialité orthoprothèse;37486;1994-08-25;1996;;.Les mots : « certificat d'aptitude professionnelle ortho-prothésiste » sont remplacés par les mots : « certificat d'aptitude professionnelle Opérateur en appareillage orthopédique-spécialité orthoprothèse ».
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31122 T;CAP;Opérateur-opératrice logistique;22689;2015-03-02;2017;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22341 V;CAP;Orfèvre option B - tourneur repousseur en orfèvrerie;642;1973-10-15;1976;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-23427 V;CAP;Ouvrier archetier;647;1959-07-10;1961;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 3;500-22509 S;CAP;Plasturgie;736;1999-07-27;2001;;abrogation à la CPC septembre 2023
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-31221 T;CAP;Poissonnier-écailler;37383;2007-03-20;2009;;.
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24321 S;CAP;Sellier harnacheur;37905;2014-04-29;2016;;.
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 3;500-32225 V;CAP;Sérigraphie industrielle;671;1999-01-12;2000;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur;Niveau 3;500-33617 T;CAP;Taxidermiste;34672;2019-02-25;2021;;-
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 3;500-25134 U;CAP;Transport par câbles et remontées mécaniques;681;1999-10-21;2001;2024;Remplacé par le n°500-25138 U
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23438 S;CAP;Vannerie;37899;2001-09-05;2003;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 5;321-22301 V;DMA;Art du bijou et du joyau;819;2001-07-05;2003;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts de la reliure;Niveau 5;321-32206 V;DMA;Arts graphiques option : reliure dorure;828;1998-07-30;2000;;.
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;321-13301 F;DMA;Cinéma d'animation;821;1998-08-27;2000;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 5;321-23004 V;DMA;Décor architectural option B : domaine du décor du mur;843;1987-07-16;1989;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 5;321-23005 V;DMA;Décor architectural option C : domaine du métal;850;1987-07-16;1989;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 5;321-23001 V;DMA;Habitat option : décors et mobiliers;836;1987-07-07;1989;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 5;321-22401 V;DMA;Textiles et céramiques option arts de la céramique artisanale;841;1987-07-17;1989;;.
CPC cohésion sociale et santé;Secteur;Sous-secteur;Niveau 3;01033002T;MC3;Aide à domicile;37568;2023-02-10;2024;;remplace le 010-33001 T
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;01023204S;MC3;Zingueur;37920;2022-08-29;2024;;Remplace 010-23202 S
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;010-33413 T;MC4;Accueil - réception;37921;2008-03-31;2009;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;010-25311 R;MC4;Aéronautique option hélicoptères à moteurs à pistons;37924;2015-02-18;2016;;.
CPC Sport et animation;Secteur;Sous-secteur;Niveau 4;010-33501 P;MC4;Animation-gestion de projets dans le secteur sportif;30833;2018-04-13;2019;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;01025509R;MC4;Cybersécurité;37488;2023-02-06;2024;;création
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;010-25123 R;MC4;Maintenance des installations oléo hydrauliques et pneumatiques;36332;2002-08-01;2003;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;01025510R;MC4;Production et réparation de produits électroniques;37569;2023-02-06;2024;;création
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;010-22703 U;MC4;Technicien des services à l'énergie;36334;2010-02-22;2011;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;010-25408 S;MC4;Technicien en chaudronnerie aéronautique et spatiale;35230;2017-01-12;2018;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;010-25409 S;MC4;Technicien en peinture aéronautique;37923;2020-02-18;2020;;Création
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;010-25407 S;MC4;Technicien en tuyauterie;27473;2017-01-12;2018;;.
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;400-33007 T;BAC PRO;Accompagnement soins et services à la personne;37231;2022-02-02;2025;;Remplace le n°400-33003 T et le  n° 400-33004 T  Arrêté modifié en 2023 (Arrêté du 6 février 2023 modifiant l'arrêté du 2 février 2022 portant création de la spécialité « Accompagnement, soins et services à la personne » de baccalauréat professionnel et fixant ses modalités de délivrance) https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000047278220
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 4;400-22308 V;BAC PRO;Artisanat et métiers d'art - facteur d'orgues - option organier;35320;2020-12-15;2021;;-
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 4;400-32303 V;BAC PRO;Artisanat et métiers d'art option communication visuelle pluri média;37232;2011-04-26;2014;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 4;400-22403 M;BAC PRO;Artisanat et métiers d'art option métiers de l'enseigne et de la signalétique;36425;2005-07-11;2007;;Rénovation
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur;Niveau 4;400-24202 V;BAC PRO;Artisanat et métiers d'art option tapissier d'ameublement;751;1990-09-27;1992;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 4;400-22105 S;BAC PRO;Boulanger - pâtissier;37908;2009-07-02;2011;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 4;400-34303 T;BAC PRO;Gestion des pollutions et protection de l'environnement;14899;2012-07-17;2016;;en rénovation
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-23205 B;BAC PRO;Interventions sur le patrimoine bâti option A - maçonnerie;5534;2013-12-20;2016;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-23206 B;BAC PRO;Interventions sur le patrimoine bâti option B - charpente;5534;2013-12-20;2016;;.
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25219 R;BAC PRO;Maintenance des matériels option A - matériels agricoles;33029;2016-03-24;2019;;.
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25221 R;BAC PRO;Maintenance des matériels option C - matériels d'espaces verts;33031;2016-03-24;2019;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 4;400-22503 S;BAC PRO;Plastiques et composites;7585;2009-07-08;2011;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 4;400-31209 T;BAC PRO;Poissonnier écailler traiteur;37927;2009-06-24;2011;;.
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 4;400-32208 S;BAC PRO;Réalisation de produits imprimés et pluri média option B - productions imprimées;18385;2014-03-12;2017;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;400-23004 P;BAC PRO;Technicien d'études du bâtiment option A - études et économie;5641;2008-04-08;2010;;.
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;400-33103 S;BAC PRO;Technicien en appareillage orthopédique;24601;2015-12-22;2019;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-25411 N;BAC PRO;Technicien en chaudronnerie industrielle;29885;2018-02-26;2021;;-
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;400-33104 S;BAC PRO;Technicien en prothèse dentaire;34674;2020-04-25;2023;;Remplace le n° 400-33102
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 4;400-23405 S;BAC PRO;Technicien menuisier agenceur;2836;2005-07-11;2007;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;401-22316 V;BMA;Art du bijou option bijouterie joaillerie;809;2010-02-18;2012;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;401-22318 V;BMA;Art du bijou option bijouterie polissage finition;809;2010-02-18;2012;;.
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 4;401-23304 V;BMA;Arts graphiques option A : signalétique;37946;2019-04-19;2021;;-
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 4;401-24210 V;BMA;Broderie;800;1994-07-13;1996;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;401-23201 S;BMA;Gravure sur pierre;36481;2013-11-06;2016;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;401-25101 V;BMA;Horlogerie;37945;2008-04-21;2010;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Gravure;Niveau 4;401-32207 S;BMA;Orfèvrerie option gravures - ciselure;en attente de va;2013-07-26;2016;;.
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;450-22109 S;BP;Arts de la cuisine;34956;2015-01-07;2017;;Rénovation en cours
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;450-33403 T;BP;Barman;37492;1998-07-23;1999;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;450-23105 U;BP;Conducteur d'engins : travaux publics et carrières;32240;2015-06-02;2017;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-22710 S;BP;Installateur, dépanneur en froid et conditionnement d'air;32241;2014-03-12;2016;;.
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 4;450-23408 S;BP;Menuisier;37238;2014-02-03;2016;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-22709 S;BP;Monteur en installations du génie climatique et sanitaire;32241;2014-03-14;2016;;.
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;450-33104 S;BP;Préparateur en pharmacie;1008;1997-09-10;1999;2024;Abrogé par arrêté du 17/10/2022 session supplémentaire 2025
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 4;450-22003 R;BP;Techniques de laboratoire de recherche option B - physicochimie;1013;1999-01-12;2000;;abrogation CPC octobre 2023
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;450-24215 S;BP;Vêtement sur mesure option tailleur dame;37937;1994-11-21;1995;;.
CPC Services aux entreprises;Secteur;Sous-secteur;Niveau 5;320-34502 P;BTS;Collaborateur juriste notarial;36685;2021-12-13;2024;;"Remplace le n° 320-34501 M  (ex """"notariat"""")"
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25005 N;BTS;Conception et industrialisation en microtechnique;423;2003-07-31;2005;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25415 M;BTS;Conception et réalisation en chaudronnerie industrielle;37405;2018-02-19;2020;;.
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 5;320-31216 T;BTS;Conseil et commercialisation de solutions techniques;35801;2020-11-25;2023;;Remplace le n°320-20008
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-25520 R;BTS;Electrotechnique;35346;2020-02-21;2022;;Remplace le n°320-25515 R
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32211 S;BTS;Etudes de réalisation d'un projet de communication option B études de réalisation de produits imprimés;35474;2016-06-07;2019;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 5;320-22709 M;BTS;Fluides-énergies-domotique option A génie climatique et fluidique;20807;2014-02-26;2016;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25412 M;BTS;Forge;37465;2016-02-16;2018;;.
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 5;320-24112 S;BTS;Innovation textile option B traitements;37962;2014-05-13;2016;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-25017 R;BTS;Maintenance des systèmes option D : systèmes ascenseurs et élévateurs;36968;2022-01-24;2024;;Création de l'option D
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25215 R;BTS;Maintenance des véhicules option A : voitures particulières;35460;2016-02-11;2018;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 5;320-23013 P;BTS;Management économique de la construction;35802;2020-12-11;2023;;Remplace le n°320-23010
CPC Mer et navigation intérieure;Secteur;Sous-secteur;Niveau 5;320-25013 R;BTS;Mécatronique navale;36969;2021-12-16;2024;;Création
