code_rome;code_fiche_metier;code_ogr;libelle_rome;transition_eco;transition_num;transition_demo;emploi_reglemente;emploi_cadre;code_rome_parent
H1402;270;226;Management et ingénierie méthodes et industrialisation;;;;;;
H1403;268;227;Intervention technique en gestion industrielle et logistique;;;;;;
H1404;266;228;Intervention technique en méthodes et industrialisation;;;;;;
H1501;282;229;Direction de laboratoire d'analyse industrielle;;;;;;
H1502;284;230;Management et ingénierie qualité industrielle;;;;;;
H1503;281;231;Intervention technique en laboratoire d'analyse industrielle;;;;;;
H1504;280;232;Intervention technique en contrôle essai qualité en électricité et électronique;;;;;;
H1505;276;233;Intervention technique en formulation et analyse sensorielle;;;;;;
H1506;278;234;Intervention technique qualité en mécanique et travail des métaux;;;;;;
H2101;288;235;Abattage et découpe des viandes;;;;;;
H2102;286;236;Conduite d'équipement de production alimentaire;;;;;;
H2103;30056;403959;Opérateur / Opératrice de transformation des viandes;;;;;;H2101
H2201;294;237;Assemblage d'ouvrages en bois;;;;;;
H2202;293;238;Conduite d'équipement de fabrication de l'ameublement et du bois;;;;;;
H2203;289;239;Conduite d'installation de production de panneaux bois;;;;;;
H2204;300;240;Encadrement des industries de l'ameublement et du bois;;;;;;
H2205;291;241;Première transformation de bois d'oeuvre;;;;;;
H2206;296;242;Réalisation de menuiserie bois et tonnellerie;;;;;;
H2207;298;243;Réalisation de meubles en bois;;;;;;
H2208;299;244;Réalisation d'ouvrages décoratifs en bois;;;;;;
H2209;302;245;Intervention technique en ameublement et bois;;;;;;
H2301;303;246;Conduite d'équipement de production chimique ou pharmaceutique;;;;;;
H2401;307;247;Assemblage - montage d'articles en cuirs, peaux;;;;;;
H2402;308;248;Assemblage - montage de vêtements et produits textiles;;;;;;
H2403;320;249;Conduite de machine de fabrication de produits textiles;;;;;;
H2404;317;250;Conduite de machine de production et transformation des fils;;;;;;
H2405;322;251;Conduite de machine de textiles nontissés;;;;;;
H2406;326;252;Conduite de machine de traitement textile;;;;;;
H2407;324;253;Conduite de machine de transformation et de finition des cuirs et peaux;;;;;;
H2408;327;254;Conduite de machine d'impression textile;;;;;;
H2409;315;255;Coupe cuir, textile et matériaux souples;;;;;;
H2410;311;256;Mise en forme, repassage et finitions en industrie textile;;;;;;
H2411;310;257;Montage de prototype cuir et matériaux souples;;;;;;
H2412;305;258;Patronnage - gradation;;;;;;
H2413;318;259;Préparation de fils, montage de métiers textiles;;;;;;
H2414;312;260;Préparation et finition d'articles en cuir et matériaux souples;;;;;;
H2415;313;261;Contrôle en industrie du cuir et du textile;;;;;;
H2501;330;262;Encadrement de production de matériel électrique et électronique;;;;;;
H2502;334;263;Management et ingénierie de production;;;;;;
H2503;329;264;Pilotage d'unité élémentaire de production mécanique ou de travail des métaux;;;;;;
H2504;332;265;Encadrement d'équipe en industrie de transformation;;;;;;
H2505;336;266;Encadrement d'équipe ou d'atelier en matériaux souples;;;;;;
H2601;358;267;Bobinage électrique;;;;;;
H2602;353;268;Câblage électrique et électromécanique;;;;;;
H2603;352;269;Conduite d'installation automatisée de production électrique, électronique et microélectronique;;;;;;
H2604;350;270;Montage de produits électriques et électroniques;;;;;;
H2605;356;271;Montage et câblage électronique;;;;;;
H2701;359;272;Pilotage d'installation énergétique et pétrochimique;;;;;;
H2801;363;273;Conduite d'équipement de transformation du verre;;;;;;
