UAI;LIBELLÉFORMATION;MEFSTAT11;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP
0333405X;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;7;Apprentissage;25
0942461P;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;161;Apprentissage;50
0942461P;BTS - Services - Professions immobilières - en apprentissage;32211031309;193;Apprentissage;40
0942461P;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;82;Apprentissage;25
9740679V;BTS - Services - Tourisme;32211033426;170;Scolaire;15
0632002J;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033608;53;Apprentissage;30
0401016M;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;116;Apprentissage;20
0672959C;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;128;Apprentissage;7
0672959C;BTS - Services - Gestion de la PME - en apprentissage;32211031409;21;Apprentissage;8
0672959C;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;21;Apprentissage;5
0682064Z;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;47;Apprentissage;20
0694089V;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants - en apprentissage;32211022711;145;Apprentissage;10
0573801X;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;36;Apprentissage;10
0490018D;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;83;Apprentissage;12
0380034F;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;809;Apprentissage;16
0590258K;BTS - Services - Conseil et commercialisation de solutions techniques - en apprentissage;32211031216;177;Apprentissage;15
0590121L;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune - en apprentissage;32211032209;146;Apprentissage;13
0590122M;BTS - Production - Bioanalyses et contrôles;32211022207;910;Scolaire;30
0590122M;BTS - Production - Biotechnologies;32211022104;653;Scolaire;30
0590122M;BTS - Services - Service et prestation des secteurs sanitaire et social;32211033002;614;Scolaire;30
0590122M;BTS - Services - Analyses de biologie médicale;32211033109;1293;Scolaire;30
0590125R;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;190;Apprentissage;36
0590149S;BTS - Production - Conception et réalisation en chaudronnerie industrielle;32211025415;66;Scolaire;15
0590149S;BTS - Production - Electrotechnique;32211025520;177;Scolaire;30
0590184E;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;32211020116;866;Scolaire;30
