Rentrée scolaire;UAI;Mef Bcp 11;Nombre d'élèves : Total
2020;0130010R;32221031408;24
2020;0130011S;32221020111;19
2020;0130013U;23220031122;28
2020;0130013U;23810030003;28
2020;0130013U;23820022703;11
2020;0130013U;23820031213;15
2020;0130013U;23830022703;12
2020;0130013U;23830031106;14
2020;0130033R;23210025437;15
2020;0130033R;23210025524;15
2020;0130033R;23220025524;13
2020;0130033R;23820022703;16
2020;0130033R;23830025007;12
2020;0130036U;32221031211;30
2020;0130036U;32221032409;24
2020;0130037V;32221031212;24
2020;0130043B;32221032611;17
2020;0130043B;32221034501;24
2020;0130048G;32211031409;31
2020;0130048G;32221031212;27
2020;0130049H;32221020008;24
2020;0130049H;32221020111;19
2020;0130049H;32221020112;12
2020;0130049H;32221025515;16
2020;0130050J;23810023007;25
2020;0130050J;23810023405;11
2020;0130050J;23830022704;13
2020;0130050J;23830023005;13
2020;0130050J;32211023012;30
2020;0130050J;32221023107;17
2020;0130050J;32720013401;59
2020;0130051K;32A31031403;32
2020;0130053M;32211020112;24
2020;0130053M;32211025520;34
2020;0130053M;32221020008;22
2020;0130053M;32221022208;33
2020;0130054N;23110023442;5
2020;0130054N;23220023445;15
2020;0130054N;23810023408;15
2020;0130055P;23810022004;20
2020;0130055P;23810025007;11
2020;0130055P;23810025516;24
2020;0130055P;23810030003;34
2020;0130055P;23830025515;12
2020;0130056R;23110031117;11
2020;0130056R;23210025219;11
2020;0130056R;23210031117;12
2020;0130056R;23220025219;7
2020;0130056R;23220031122;12
2020;0130056R;23810025218;33
2020;0130056R;23810025510;24
2020;0130056R;23820031106;10
2020;0130056R;23830031108;10
2020;0130057S;23220023322;9
2020;0130057S;23220023327;9
2020;0130057S;23810023007;21
2020;0130057S;23820023102;11
2020;0130057S;23820023304;12
2020;0130057S;23830023304;7
2020;0130057S;32211023108;15
2020;0130058T;23210025217;20
2020;0130058T;23210025524;12
2020;0130058T;23220025217;10
2020;0130058T;23830034403;24
2020;0130059U;23820032304;26
2020;0130062X;23110032225;5
2020;0130062X;23220025433;11
2020;0130062X;23820025408;10
2020;0130062X;23830030001;42
2020;0130062X;23910025207;6
2020;0130063Y;23210031224;15
2020;0130063Y;23830033603;14
2020;0130063Y;23910033605;10
2020;0130063Y;32221033603;15
2020;0130064Z;23810024203;25
2020;0130064Z;23820030001;60
2020;0130064Z;23820033004;46
2020;0130064Z;23830024203;25
2020;0130064Z;23830033004;47
2020;0130065A;23220031216;12
2020;0130065A;23810033005;48
2020;0130065A;23820031214;13
2020;0130065A;23820033003;12
2020;0130065A;23830033002;24
2020;0130068D;23210022142;24
2020;0130068D;23810030003;24
2020;0130068D;23820031214;12
2020;0130068D;23830030001;21
2020;0130068D;23830031202;18
2020;0130071G;23220033411;25
2020;0130071G;23810033005;23
2020;0130071G;23820031212;13
2020;0130071G;23830031206;27
2020;0130071G;23830031210;10
