Rentrée scolaire,Académie 2020,Académie 2020 Lib L,UAI,Patronyme,Adresse condensée,Code postal,Commune d'implantation,Commune d'implantation Lib L,Commune et arrondissement,Commune et arrondissement Lib L,Secteur d'enseignement Lib L,Mef Bcp 11,Mef Bcp 11 Lib L,Mef Bcp 6,Mef Bcp 6 Lib L,Nombre d'élèves : Total,Nombre d'élèves : Filles,Nombre d'élèves : Garçons
2024.0,10.0,LYON,0010034G,PAUL PAINLEVE,P PAINLEVE 13 PL DES DEPORTES,1108.0,01283,OYONNAX,01283,OYONNAX,SECTEUR PUBLIC,23830031214,TLEPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.,238300,BAC PRO EN 3 ANS : TERMINALE PRO,9.0,7.0,2.0
2024.0,10.0,LYON,0010034G,PAUL PAINLEVE,P PAINLEVE 13 PL DES DEPORTES,1108.0,01283,OYONNAX,01283,OYONNAX,SECTEUR PUBLIC,32221031409,2BTS2  GESTION DE LA PME,322210,BTS EN 2 ANS : 2EME ANNEE,18.0,10.0,8.0
2024.0,10.0,LYON,0010070W,SAINT PIERRE,ST PIERRE 7 R VILLENEUVE,1000.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PRIVE,32221031408,2BTS2  COMPTABILITE ET GESTION,322210,BTS EN 2 ANS : 2EME ANNEE,7.0,4.0,3.0
2024.0,10.0,LYON,0010072Y,INTERNATIONAL,INTERNATIONAL AV DES SPORTS,1210.0,01160,FERNEY-VOLTAIRE,01160,FERNEY-VOLTAIRE,SECTEUR PUBLIC,23830031213,TLEPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.,238300,BAC PRO EN 3 ANS : TERMINALE PRO,19.0,7.0,12.0
2024.0,10.0,LYON,0010072Y,INTERNATIONAL,INTERNATIONAL AV DES SPORTS,1210.0,01160,FERNEY-VOLTAIRE,01160,FERNEY-VOLTAIRE,SECTEUR PUBLIC,32211033426,1BTS2  TOURISME,322110,BTS EN 2 ANS : 1ERE ANNEE,21.0,18.0,3.0
2024.0,10.0,LYON,0010099C,SAINT JOSEPH,ST JOSEPH 3 R DU LYCEE,1000.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PRIVE,23820025519,1ERPRO CYBER.INFORM.&RESEAUX ELECTRON.,238200,BAC PRO EN 3 ANS : 1ERE PRO,40.0,0.0,40.0
2024.0,10.0,LYON,0010099C,SAINT JOSEPH,ST JOSEPH 3 R DU LYCEE,1000.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PRIVE,23820031212,1ERPRO METIERS DE L'ACCUEIL,238200,BAC PRO EN 3 ANS : 1ERE PRO,12.0,7.0,5.0
2024.0,10.0,LYON,0010099C,SAINT JOSEPH,ST JOSEPH 3 R DU LYCEE,1000.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PRIVE,23820031214,1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.,238200,BAC PRO EN 3 ANS : 1ERE PRO,20.0,9.0,11.0
2024.0,10.0,LYON,0010099C,SAINT JOSEPH,ST JOSEPH 3 R DU LYCEE,1000.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PRIVE,23830031212,TLEPRO METIERS DE L'ACCUEIL,238300,BAC PRO EN 3 ANS : TERMINALE PRO,12.0,9.0,3.0
2024.0,10.0,LYON,0010814E,SAINT JOSEPH,ST JOSEPH 101 R H. GROBON,1700.0,01249,MIRIBEL,01249,MIRIBEL,SECTEUR PRIVE,23220031224,2CAP2  EQUIPIER POLYVALENT DU COMMERCE,232200,CAP EN 2 ANS : 2EME ANNEE,13.0,7.0,6.0
2024.0,10.0,LYON,0010814E,SAINT JOSEPH,ST JOSEPH 101 R H. GROBON,1700.0,01249,MIRIBEL,01249,MIRIBEL,SECTEUR PRIVE,23810033007,2NDPRO ACCOMP. SOINS-SERVICES PERSONNE,238100,BAC PRO EN 3 ANS : 2NDE PRO,11.0,10.0,1.0
2024.0,10.0,LYON,0010878Z,JEANNE D'ARC,J D'ARC 95 R DU LYCEE,1170.0,01071,CESSY,01071,CESSY,SECTEUR PRIVE,23210031224,1CAP2  EQUIPIER POLYVALENT DU COMMERCE,232100,CAP EN 2 ANS : 1ERE ANNEE,20.0,10.0,10.0
2024.0,10.0,LYON,0010878Z,JEANNE D'ARC,J D'ARC 95 R DU LYCEE,1170.0,01071,CESSY,01071,CESSY,SECTEUR PRIVE,23830031106,TLE PRO3 LOGISTIQUE (Nouveau),238300,BAC PRO EN 3 ANS : TERMINALE PRO,5.0,0.0,5.0
2024.0,10.0,LYON,0010966V,PHILIBERT COMMERSON,PHILIBERT COMMERSON,1000.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23210022142,"1CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE)",232100,CAP EN 2 ANS : 1ERE ANNEE,9.0,4.0,5.0
2024.0,10.0,LYON,0010966V,PHILIBERT COMMERSON,PHILIBERT COMMERSON,1000.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23210023327,1CAP2  PEINTRE APPLICATEUR REVETEMENTS,232100,CAP EN 2 ANS : 1ERE ANNEE,9.0,3.0,6.0
2024.0,10.0,LYON,0011118K,GABRIEL VOISIN,G VOISIN AV DE JASSERON,1001.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23210022142,"1CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE)",232100,CAP EN 2 ANS : 1ERE ANNEE,20.0,13.0,7.0
2024.0,10.0,LYON,0011118K,GABRIEL VOISIN,G VOISIN AV DE JASSERON,1001.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23210033002,1CAP2  AGENT ACCOMPAGNANT AU GRAND AGE,232100,CAP EN 2 ANS : 1ERE ANNEE,10.0,10.0,0.0
2024.0,10.0,LYON,0011118K,GABRIEL VOISIN,G VOISIN AV DE JASSERON,1001.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23820025215,1RE PRO3 MAINT.VEHIC.OPTB VEHIC.TRANS.ROUT,238200,BAC PRO EN 3 ANS : 1ERE PRO,16.0,0.0,16.0
2024.0,10.0,LYON,0011118K,GABRIEL VOISIN,G VOISIN AV DE JASSERON,1001.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23820025410,1RE PRO3 CONSTRUCTION DES CARROSSERIES,238200,BAC PRO EN 3 ANS : 1ERE PRO,10.0,0.0,10.0
