UAI,LIBELLÉFORMATION,MEFSTAT11,NB_VOEUX_CONFIRMES,STATUT,CAPACITEPSUP
0590072H,BTS - Production - Conception et réalisation en chaudronnerie industrielle - en apprentissage,32211025415,70.0,Apprentissage,15.0
0590072H,BTS - Production - Electrotechnique - en apprentissage,32211025520,127.0,Apprentissage,30.0
0590073J,BTS - Services - Commerce International,32211031215,488.0,Scolaire,35.0
0590073J,BTS - Services - Management Commercial Opérationnel,32211031213,332.0,Scolaire,35.0
0590073J,BTS - Services - Comptabilité et gestion,32211031408,209.0,Scolaire,24.0
0590083V,BTS - Production - Assistance technique d'ingénieur,32211025001,66.0,Scolaire,15.0
0590083V,BTS - Production - Traitement des matériaux - en apprentissage,32211022310,11.0,Apprentissage,12.0
0590083V,BTS - Services - Comptabilité et gestion,32211031408,85.0,Scolaire,24.0
0590093F,BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production,32211022506,57.0,Scolaire,15.0
0590258K,BTS - Services - Gestion des transports et logistique associée - en apprentissage,32211031103,245.0,Apprentissage,32.0
0620190V,Certificat de Spécialisation - Animation-gestion de projets dans le secteur sportif - en apprentissage,23K00033501,50.0,Apprentissage,4.0
0590101P,BTS - Services - Management Commercial Opérationnel,32211031213,226.0,Scolaire,24.0
0590101P,BTS - Services - Comptabilité et gestion,32211031408,106.0,Scolaire,24.0
0590102R,BTS - Production - Techniques et services en matériels agricoles - en apprentissage,32211025213,37.0,Apprentissage,15.0
0590102R,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,148.0,Apprentissage,15.0
0590110Z,BTS - Services - Management Commercial Opérationnel,32211031213,582.0,Scolaire,35.0
0590110Z,BTS - Services - Comptabilité et gestion,32211031408,327.0,Scolaire,26.0
0590112B,BTS - Services - Négociation et digitalisation de la Relation Client,32211031212,92.0,Scolaire,35.0
0590117G,BTS - Services - Négociation et digitalisation de la Relation Client,32211031212,1384.0,Scolaire,35.0
0590117G,BTS - Services - Professions immobilières,32211031312,1420.0,Scolaire,59.0
0333440K,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,239.0,Apprentissage,200.0
0332868N,BTS - Services - Prothésiste dentaire - en apprentissage,32211033111,425.0,Apprentissage,30.0
0590121L,BTS - Production - Conception de produits industriels,32211020009,181.0,Scolaire,15.0
0590121L,BTS - Production - Conception et Réalisation de Systèmes Automatiques,32211020111,158.0,Scolaire,15.0
0590121L,"BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique",32211022709,215.0,Scolaire,30.0
0590121L,BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques,32211025015,169.0,Scolaire,15.0
0590121L,BTS - Production - Conception des processus de réalisation de produits (1ère année commune),32211022316,73.0,Scolaire,15.0
0590121L,BTS - Production - Electrotechnique,32211025520,322.0,Scolaire,30.0
0590121L,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",32211025521,391.0,Scolaire,15.0
0590121L,"BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique - en apprentissage",32211022709,127.0,Apprentissage,13.0
0590121L,BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques - en apprentissage,32211025015,97.0,Apprentissage,13.0
0590121L,BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune,32211032209,497.0,Scolaire,45.0
0062307A,BTS - Services - Gestion des transports et logistique associée - en apprentissage,32211031103,32.0,Apprentissage,30.0
0692955M,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,235.0,Apprentissage,40.0
