Rentrée scolaire;Académie 2020;Académie 2020 Lib L;UAI;Patronyme;Adresse condensée;Code postal;Commune d'implantation;Commune d'implantation Lib L;Commune et arrondissement;Commune et arrondissement Lib L;Secteur d'enseignement Lib L;Mef Bcp 11;Mef Bcp 11 Lib L;Mef Bcp 6;Mef Bcp 6 Lib L;Nombre d'élèves : Total;Nombre d'élèves : Filles;Nombre d'élèves : Garçons
2024;70;NORMANDIE;0762964J;LE CORBUSIER;LE CORBUSIER R DE L'UNIVERSITE;76800;76575;SAINT-ETIENNE-DU-ROUVRAY;76575;SAINT-ETIENNE-DU-ROUVRAY;SECTEUR PUBLIC;32211023205;1BTS2  ENVELOPPE BATIM. : CONCEPT. REAL.;322110;BTS EN 2 ANS : 1ERE ANNEE;10;3;7
2024;70;NORMANDIE;0762964J;LE CORBUSIER;LE CORBUSIER R DE L'UNIVERSITE;76800;76575;SAINT-ETIENNE-DU-ROUVRAY;76575;SAINT-ETIENNE-DU-ROUVRAY;SECTEUR PUBLIC;32211023206;1BTS2  TRAVAUX PUBLICS;322110;BTS EN 2 ANS : 1ERE ANNEE;14;1;13
2024;70;NORMANDIE;0762964J;LE CORBUSIER;LE CORBUSIER R DE L'UNIVERSITE;76800;76575;SAINT-ETIENNE-DU-ROUVRAY;76575;SAINT-ETIENNE-DU-ROUVRAY;SECTEUR PUBLIC;32221023205;2BTS2  ENVELOPPE BATIM. : CONCEPT. REAL.;322210;BTS EN 2 ANS : 2EME ANNEE;8;2;6
2024;70;NORMANDIE;0762976X;FRANCOISE DE GRACE;F. DE GRACE 16 R DE LA VALLEE;76071;76351;LE HAVRE;76351;LE HAVRE;SECTEUR PUBLIC;32221034304;2BTS2  MET. DES SERV. A L'ENVIRONNEMENT;322210;BTS EN 2 ANS : 2EME ANNEE;7;3;4
2024;70;NORMANDIE;0763002A;DU GOLF;DU GOLF CHEM DU GOLF;76200;76217;DIEPPE;76217;DIEPPE;SECTEUR PUBLIC;23220031122;2CAP2  OPERATEUR/OPERATRICE LOGISTIQUE;232200;CAP EN 2 ANS : 2EME ANNEE;9;0;9
2024;70;NORMANDIE;0763002A;DU GOLF;DU GOLF CHEM DU GOLF;76200;76217;DIEPPE;76217;DIEPPE;SECTEUR PUBLIC;23810031211;2DE PRO3 MET. RELATION CLIENT 2NDE COMMUNE;238100;BAC PRO EN 3 ANS : 2NDE PRO;30;23;7
2024;70;NORMANDIE;0763002A;DU GOLF;DU GOLF CHEM DU GOLF;76200;76217;DIEPPE;76217;DIEPPE;SECTEUR PUBLIC;23810034304;2DE PRO3 HYGIENE PROPRETE STERILISATION;238100;BAC PRO EN 3 ANS : 2NDE PRO;27;23;4
2024;70;NORMANDIE;0763002A;DU GOLF;DU GOLF CHEM DU GOLF;76200;76217;DIEPPE;76217;DIEPPE;SECTEUR PUBLIC;23830031106;TLE PRO3 LOGISTIQUE (Nouveau);238300;BAC PRO EN 3 ANS : TERMINALE PRO;22;7;15
2024;70;NORMANDIE;0763079J;LPA DU BOIS;DU BOIS R DE GAULLE;76630;76235;ENVERMEU;76235;ENVERMEU;SECTEUR PUBLIC;23820023404;1RE PRO3  TECHNICIEN CONSTRUCTEUR BOIS;238200;BAC PRO EN 3 ANS : 1ERE PRO;17;0;17
2024;70;NORMANDIE;0763237F;GEORGES BAPTISTE;G. BAPTISTE RTE DUCLAIR;76380;76157;CANTELEU;76157;CANTELEU;SECTEUR PUBLIC;23210033413;1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT;232100;CAP EN 2 ANS : 1ERE ANNEE;13;9;4
2024;70;NORMANDIE;0763237F;GEORGES BAPTISTE;G. BAPTISTE RTE DUCLAIR;76380;76157;CANTELEU;76157;CANTELEU;SECTEUR PUBLIC;23220022137;2CAP2  BOULANGER;232200;CAP EN 2 ANS : 2EME ANNEE;8;1;7
2024;70;NORMANDIE;0763237F;GEORGES BAPTISTE;G. BAPTISTE RTE DUCLAIR;76380;76157;CANTELEU;76157;CANTELEU;SECTEUR PUBLIC;23220022141;2CAP2  PATISSIER;232200;CAP EN 2 ANS : 2EME ANNEE;9;7;2
2024;70;NORMANDIE;0763237F;GEORGES BAPTISTE;G. BAPTISTE RTE DUCLAIR;76380;76157;CANTELEU;76157;CANTELEU;SECTEUR PUBLIC;23820022106;1RE PRO3 CUISINE;238200;BAC PRO EN 3 ANS : 1ERE PRO;24;9;15
2024;70;NORMANDIE;0763237F;GEORGES BAPTISTE;G. BAPTISTE RTE DUCLAIR;76380;76157;CANTELEU;76157;CANTELEU;SECTEUR PUBLIC;23830022106;TLE PRO3 CUISINE;238300;BAC PRO EN 3 ANS : TERMINALE PRO;24;8;16
2024;70;NORMANDIE;0763237F;GEORGES BAPTISTE;G. BAPTISTE RTE DUCLAIR;76380;76157;CANTELEU;76157;CANTELEU;SECTEUR PUBLIC;23J00022105;CS-3   CUISINIER DESSERTS RESTAURANT;23J000;CERTIFICAT DE SPECIALISATION DE NIVEAU 3;2;1;1
2024;70;NORMANDIE;0763237F;GEORGES BAPTISTE;G. BAPTISTE RTE DUCLAIR;76380;76157;CANTELEU;76157;CANTELEU;SECTEUR PUBLIC;23J00022112;CS-3   PATISSERIE DE BOUTIQUE;23J000;CERTIFICAT DE SPECIALISATION DE NIVEAU 3;5;3;2
2024;70;NORMANDIE;0763237F;GEORGES BAPTISTE;G. BAPTISTE RTE DUCLAIR;76380;76157;CANTELEU;76157;CANTELEU;SECTEUR PUBLIC;23K00033414;CS-4   SOMMELLERIE;23K000;CERTIFICAT DE SPECIALISATION DE NIVEAU 4;8;5;3
2024;70;NORMANDIE;0763500S;SAINT VINCENT DE PAUL;St V. de Paul 25 rue Dumont d';76600;76351;LE HAVRE;76351;LE HAVRE;SECTEUR PRIVE;23820031106;1RE PRO3 LOGISTIQUE (Nouveau);238200;BAC PRO EN 3 ANS : 1ERE PRO;16;5;11
2024;70;NORMANDIE;0763500S;SAINT VINCENT DE PAUL;St V. de Paul 25 rue Dumont d';76600;76351;LE HAVRE;76351;LE HAVRE;SECTEUR PRIVE;23830032304;TLE PRO3 PHOTOGRAPHIE;238300;BAC PRO EN 3 ANS : TERMINALE PRO;15;11;4
2024;24;CRETEIL;0770342D;LEOPOLD BELLAN;CHAMIGNY DOMAINE ANGE GARDIEN;77260;77078;CHAMIGNY;77078;CHAMIGNY;SECTEUR PUBLIC;23210023447;1CAP2  MENUISIER FABRICANT;232100;CAP EN 2 ANS : 1ERE ANNEE;7;0;7
2024;24;CRETEIL;0770342D;LEOPOLD BELLAN;CHAMIGNY DOMAINE ANGE GARDIEN;77260;77078;CHAMIGNY;77078;CHAMIGNY;SECTEUR PUBLIC;23211021405;1CAP2A TRAVAUX PAYSAGERS;232110;CAP AGRICOLE EN 2 ANS : 1ERE ANNEE;8;1;7
2024;24;CRETEIL;0770918E;URUGUAY FRANCE;URUGUAY FRANCE AV. MARRONNIERS;77216;77014;AVON;77014;AVON;SECTEUR PUBLIC;23220033205;2CAP2  ACCOMPAG. EDUCATIF PETITE ENFANCE;232200;CAP EN 2 ANS : 2EME ANNEE;12;12;0
2024;24;CRETEIL;0770918E;URUGUAY FRANCE;URUGUAY FRANCE AV. MARRONNIERS;77216;77014;AVON;77014;AVON;SECTEUR PUBLIC;23830033007;TLEPRO ACCOMP. SOINS-SERVICES PERSONNE;238300;BAC PRO EN 3 ANS : TERMINALE PRO;57;53;4
2024;24;CRETEIL;0770918E;URUGUAY FRANCE;URUGUAY FRANCE AV. MARRONNIERS;77216;77014;AVON;77014;AVON;SECTEUR PUBLIC;32211033002;1BTS2  SERVICES & PREST.SANIT.& SOCIAL;322110;BTS EN 2 ANS : 1ERE ANNEE;18;14;4
2024;24;CRETEIL;0770918E;URUGUAY FRANCE;URUGUAY FRANCE AV. MARRONNIERS;77216;77014;AVON;77014;AVON;SECTEUR PUBLIC;32221033206;2BTS2  ECONOMIE SOCIALE FAMILIALE;322210;BTS EN 2 ANS : 2EME ANNEE;15;13;2
2024;24;CRETEIL;0770920G;LA FAYETTE;LA FAYETTE PLACE DES CELESTINS;77430;77079;CHAMPAGNE-SUR-SEINE;77079;CHAMPAGNE-SUR-SEINE;SECTEUR PUBLIC;23210025524;1CAP2  ELECTRICIEN;232100;CAP EN 2 ANS : 1ERE ANNEE;12;0;12
