Code_Scolarité,Code_Rome_1,Code_Rome_2,Code_Rome_3,Code_Rome_4,Code_Rome_5
,K1701,,,,
,F1101,,,,
,K1101,K1201,K1205,,
,K1201,,,,
,,,,,
,I1605,N3101,,,
,I1605,,,,
,I1605,,,,
33633502,G1204,,,,
33633502,G1204,,,,
23633502,G1204,K1802,,,
33633502,G1204,,,,
23633502,G1204,K1802,,,
33633502,G1204,,,,
,,,,,
,F1101,K1802,,,
,F1101,K1802,,,
,,,,,
,,,,,
,K1201,,,,
,,,,,
,A1301,,,,
40024203,B1805,H2505,,,
,K1404,K1802,,,
36E33201,K1801,,,,
,H1206,H1401,H1402,H1502,H2502
17022105,H1206,H1302,H1502,H2102,H2504
,H1102,H1206,H1401,H1402,M1402
17020013,H1206,H1401,H1402,H2502,
17021015,A1303,H1206,H1302,H2502,M1703
17032633,M1802,M1803,M1805,M1806,
,K1702,K1705,,,
,K1702,K1705,,,
,J1202,,,,
40022104,D1101,D1103,D1106,,
40022105,D1102,D1104,,,
40024302,H2401,H2407,H2409,H2411,H2415
40031209,D1103,D1105,,,
,J1103,,,,
,J1103,,,,
,J1103,,,,
,J1103,,,,
,J1103,,,,
,J1103,,,,
,J1103,,,,
,J1103,,,,
93313101,K2111,,,,
46M22104,D1104,,,,
,E1103,K1206,K1601,K2106,K2107
,H1206,,,,
,K1602,,,,
,,,,,
45032203,D1211,,,,
33633502,G1204,,,,
33633502,G1204,,,,
20531025,D1406,E1101,M1302,M1501,
32123411,B1501,,,,
32123412,B1501,,,,
32125401,B1501,,,,
32123413,B1501,,,,
,M1203,,,,
,K1206,K1601,K1902,,
,,,,,
40022303,H2503,H2907,,,
,K1704,K1706,,,
,E1103,K1206,K1601,K2106,K2107
,K1704,K1706,,,
,K1704,K1706,,,
,K1704,K1706,,,
,K1704,K1706,,,
,I1605,K1701,,,
,K2503,,,,
,K2503,,,,
,I1303,K2503,,,
40024301,H2401,H2407,H2409,H2411,H2415
50022429,B1602,,,,
50022430,B1602,,,,
32025302,H1301,I1302,I1304,I1305,I1602
45322102,H2102,H3301,H3302,,
,,,,,
,,,,,
,,,,,
50031213,B1804,,,,
,M1602,,,,
,K1706,,,,
,,,,,
23633502,G1204,K1802,,,
33633502,G1204,,,,
23633502,G1204,K1802,,,
,K1802,,,,
50022428,B1602,,,,
40022503,H2504,,,,
56S2220A,H2301,H3301,J1301,,
,E1205,L1304,,,
,A1413,,,,
,B1803,L1502,,,
,H1401,H2502,,,
,H1302,,,,
,N2101,N2102,,,
26033101,J1506,,,,
,N2101,N2102,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,L1304,,,,
,M1804,,,,
,,,,,
,H1206,I1602,,,
,,,,,
40022003,H2102,H2301,H2701,,
16020001,B1805,E1104,E1205,F1102,H1204
,A1408,,,,
,,,,,
,,,,,
,,,,,
,K2402,,,,
,H1102,,,,
,H2502,,,,
,M1205,M1301,M1302,,
,H1401,,,,
,H1204,,,,
,N1301,N1302,,,
,H1206,,,,
,M1201,,,,
,H1206,,,,
