MEF,DISPOSITIF_FORMATION,FORMATION_DIPLOME,DUREE_DISPOSITIF,ANNEE_DISPOSITIF,LIBELLE_COURT,LIBELLE_LONG,DATE_OUVERTURE,DATE_FERMETURE,STATUT_MEF,NB_OPTION_OBLIGATOIRE,NB_OPTION_FACULTATIF,RENFORCEMENT_LANGUE,DUREE_PROJET,DUREE_STAGE,HORAIRE,MEF_INSCRIPTION_SCOLARITE,MEF_STAT_11,MEF_STAT_9,DATE_INTERVENTION,LIBELLE_EDITION,N_COMMENTAIRE
2412541822.0,241.0,50025418,2.0,2.0,2CAP2 25418,2CAP2 MARECHAL FERRANT,01/09/1992,31/08/1993,3.0,0.0,0.0,N,0.0,0.0,N,O,23220025418,232200254,27/01/1995,2cap2 marechal ferrant,
2422541833.0,242.0,50025418,3.0,3.0,3CAP3 25418,3CAP3 MARECHAL FERRANT,01/09/1992,31/08/1993,3.0,0.0,0.0,N,0.0,0.0,N,O,23330025418,233300254,27/01/1995,3cap3 marechal ferrant,
2422540833.0,242.0,50025408,3.0,3.0,3CAP3 25408,3CAP3 CHAUDRONNIER  1E AN.COM.,01/09/1992,31/08/1993,3.0,0.0,0.0,N,0.0,0.0,N,O,23330025408,233300254,03/04/1996,3cap3 chaudronnier  1e an.com.,
3011200621.0,301.0,37012006,2.0,1.0,1HEC-T,CPGE1 CLASSE ECO.COMMER.OPT. TECHNO,01/09/1992,31/08/2021,1.0,2.0,,N,,,O,O,31111312006,311113120,11/06/2021,"Cpge1 classe économique et commerciale, option technologique",
2412234421.0,241.0,50022344,2.0,1.0,1CAP2 22344,1CAP2 SERTISSEUR EN BIJOUT.JOAIL.ORFEV.,01/09/1992,31/08/2003,3.0,1.0,,N,,,O,O,23210022344,232100223,30/04/2002,1cap2 sertisseur en bijout.joail.orfev.,
2412234422.0,241.0,50022344,2.0,2.0,2CAP2 22344,2CAP2 SERTISSEUR EN BIJOUT.JOAIL.ORFEV.,01/09/1992,31/08/2005,3.0,1.0,,N,,,O,O,23220022344,232200223,21/08/2002,2cap2 sertisseur en bijout.joail.orfev.,
2412234521.0,241.0,50022345,2.0,1.0,1CAP2 22345,1CAP2 GRAVEUR METAUX_A : ACIER EN MODEL,01/09/1992,31/08/1997,3.0,0.0,1.0,N,0.0,0.0,O,O,23210022345,232100223,20/05/1997,1cap2 graveur metaux_a : acier en model,
2412234621.0,241.0,50022346,2.0,1.0,1CAP2 22346,1CAP2 GRAVEUR METAUX_B : MARQUAGE,01/09/1992,31/08/1997,3.0,0.0,1.0,N,0.0,0.0,O,O,23210022346,232100223,20/05/1997,1cap2 graveur metaux_b : marquage,
2412234622.0,241.0,50022346,2.0,2.0,2CAP2 22346,2CAP2 GRAVEUR METAUX_B : MARQUAGE,01/09/1992,31/08/1997,3.0,0.0,1.0,N,0.0,0.0,O,O,23220022346,232200223,20/05/1997,2cap2 graveur metaux_b : marquage,
2412234721.0,241.0,50022347,2.0,1.0,1CAP2 22347,1CAP2 GRAVEUR TAILLE DOUCE_A: ORNEMENT.,01/09/1992,31/08/1997,3.0,0.0,1.0,N,0.0,0.0,O,O,23210022347,232100223,20/05/1997,1cap2 graveur taille douce_a: ornement.,
2412234722.0,241.0,50022347,2.0,2.0,2CAP2 22347,2CAP2 GRAVEUR TAILLE DOUCE_A: ORNEMENT.,01/09/1992,31/08/1997,3.0,0.0,1.0,N,0.0,0.0,O,O,23220022347,232200223,20/05/1997,2cap2 graveur taille douce_a: ornement.,
2412234822.0,241.0,50022348,2.0,2.0,2CAP2 22348,2CAP2 GRAVEUR TAILLE DOUCE_B: IMPRESS.,01/09/1992,31/08/1997,3.0,0.0,1.0,N,0.0,0.0,O,O,23220022348,232200223,20/05/1997,2cap2 graveur taille douce_b: impress.,
2422340533.0,242.0,50023405,3.0,3.0,3CAP3 23405,3CAP3 FACTEUR PIANOS OP_A : REPARATEUR,01/09/1992,31/08/1993,3.0,0.0,0.0,N,0.0,0.0,N,O,23330023405,233300234,27/01/1995,3cap3 facteur pianos op_a : reparateur,
2422340633.0,242.0,50023406,3.0,3.0,3CAP3 23406,3CAP3 FACTEUR PIANOS OP_B : ACCORDEUR,01/09/1992,31/08/1993,3.0,0.0,0.0,N,0.0,0.0,N,O,23330023406,233300234,27/01/1995,3cap3 facteur pianos op_b : accordeur,
2412235221.0,241.0,50022352,2.0,1.0,1CAP2 22352,1CAP2 PANTOGRAVEUR,01/09/1992,31/08/1994,3.0,0.0,1.0,N,0.0,0.0,N,O,23210022352,232100223,27/01/1995,1cap2 pantograveur,
2412235222.0,241.0,50022352,2.0,2.0,2CAP2 22352,2CAP2 PANTOGRAVEUR,01/09/1992,31/08/1996,3.0,0.0,1.0,N,0.0,0.0,N,O,23220022352,232200223,02/04/1996,2cap2 pantograveur,
2472130332.0,247.0,40021303,3.0,2.0,1ERPRO21303,1ERPRO CGEM OPTION PECHE,01/09/2018,31/08/2020,3.0,1.0,,N,,,O,O,23820021303,238200213,17/05/2019,1erpro conduite et gestion des entreprises maritimes option pêche,
7419990211.0,741.0,48199902,1.0,1.0,FCIL4 99902,FCIL4  FORM.COMPL.MARIT.D'INIT.LOC. NIV4,01/09/2022,,1.0,0.0,,N,,,N,O,44210099902,442100999,17/06/2022,Fcil4 formation complémentaire maritime d'initiative locale niveau 4,
7409990511.0,740.0,58199905,1.0,1.0,FCIL5 99905,FCIL5  FORM.COMPL.MARIT.D'INIT.LOC. NIV3,01/09/2022,,1.0,0.0,,N,,,N,O,44110099905,441100999,17/06/2022,Fcil5 formation complémentaire maritime d'initiative locale niveau 3,
1001000211.0,100.0,67010002,1.0,1.0,6MUS,6EME MUSIQUE,01/09/1992,,1.0,3.0,,N,,,O,O,21110010002,211100100,22/03/2018,6ème musique,
2412343421.0,241.0,50023434,2.0,1.0,1CAP2 23434,1CAP2 FACTEUR DE GUITARE,01/09/1992,31/08/2002,3.0,0.0,1.0,N,0.0,0.0,O,O,23210023434,232100234,11/10/2001,1cap2 facteur de guitare,
