code_ogr;libelle_appellation_long;libelle_appellation_court;code_rome;transition_eco;transition_num;transition_demo;emploi_reglemente;emploi_cadre;classification;origine
19387;Secrétaire général adjoint / générale adjointe d'entreprise;Secrétaire général adjoint / générale adjointe d'entreprise;M1205;;;;;;SYNONYME;
19388;Secrétaire général / générale d'association;Secrétaire général / générale d'association;M1205;;;;;;SYNONYME;
19389;Secrétaire général / générale de la rédaction;Secrétaire général / générale de la rédaction;E1106;;;;;;SYNONYME;
19390;Secrétaire général / Secrétaire générale de mairie;Secrétaire général / générale de mairie;K1406;;;;;;SYNONYME;
19391;Secrétaire général / générale de ministère;Secrétaire général / générale de ministère;K1401;;;;;;SYNONYME;
19392;Secrétaire général / générale d'entreprise;Secrétaire général / générale d'entreprise;M1205;;;;;;SYNONYME;
19393;Secrétaire général / générale d'établissement public;Secrétaire général / générale d'établissement public;M1301;;;;;;SYNONYME;
19394;Secrétaire général / générale d'établissement public d'enseignement supérieur;Secrétaire général(e) établissement public enseignt supér;M1301;;;;;;SYNONYME;
19395;Secrétaire généraliste;Secrétaire généraliste;M1607;;;;;;SYNONYME;
19396;Secrétaire juridique;Secrétaire juridique;M1607;;;;;;SYNONYME;
19397;Secrétaire médical / médicale;Secrétaire médical / médicale;M1609;;;;;;PRINCIPALE;
19398;Secrétaire médical / médicale vétérinaire;Secrétaire médical / médicale vétérinaire;M1609;;;;;;SYNONYME;
19399;Secrétaire médicosocial / médicosociale;Secrétaire médicosocial / médicosociale;M1609;;;;;;SYNONYME;
19400;Secrétaire polyvalent / polyvalente;Secrétaire polyvalent / polyvalente;M1607;;;;;;SYNONYME;
19401;Secrétaire technique;Secrétaire technique;M1605;;;;;;PRINCIPALE;
19402;Secrétaire technique bureau d'études;Secrétaire technique bureau d'études;M1605;;;;;;SYNONYME;
19403;Secrétaire technique de la construction;Secrétaire technique de la construction;M1605;;;;;;SYNONYME;
19404;Secrétaire trilingue;Secrétaire trilingue;M1607;;;;;;SYNONYME;
19405;Séismologue;Séismologue;F1105;;;;;;SYNONYME;
19406;Sellier / Sellière;Sellier / Sellière;B1802;;;;;;SYNONYME;
19407;Sellier-garnisseur / Sellière-garnisseuse;Sellier-garnisseur / Sellière-garnisseuse;B1802;;;;;;SYNONYME;
19408;Sellier-garnisseur / Sellière-garnisseuse automobile;Sellier-garnisseur / Sellière-garnisseuse automobile;B1802;;;;;;SYNONYME;
19409;Sellier-harnacheur / Sellière-harnacheuse;Sellier-harnacheur / Sellière-harnacheuse;B1802;;;;;;SYNONYME;
19410;Sellier-maroquinier / Sellière-maroquinière;Sellier-maroquinier / Sellière-maroquinière;B1802;;;;;;SYNONYME;
19411;Semencier / Semencière;Semencier / Semencière;A1414;;;;;;SYNONYME;
19412;Sériciculteur / Séricicultrice (vers à soie);Sériciculteur / Séricicultrice (vers à soie);A1408;;;;;;SYNONYME;
19413;Sérigraphe;Sérigraphe;E1301;;;;;;SYNONYME;
19414;Serriste;Serriste;A1414;;;;;;SYNONYME;
19415;Serrurier / Serrurière d'art;Serrurier / Serrurière d'art;B1601;;;;;;SYNONYME;
19416;Serrurier / Serrurière du bâtiment;Serrurier / Serrurière du bâtiment;F1614;;;;;;SYNONYME;
19417;Serrurier / Serrurière en construction navale;Serrurier / Serrurière en construction navale;H2911;;;;;;SYNONYME;
19418;Serrurier métallier industriel / Serrurière métallière industrielle;Serrurier(ère) métallier(ère) industriel(le);H2902;;;;;;SYNONYME;
19419;Serrurier-poseur / Serrurière-poseuse;Serrurier-poseur / Serrurière-poseuse;F1614;;;;;;SYNONYME;
19420;Sertisseur / Sertisseuse;Sertisseur / Sertisseuse;B1610;;;;;;SYNONYME;
19421;Sertisseur / Sertisseuse en bijouterie ou joaillerie;Sertisseur / Sertisseuse en bijouterie ou joaillerie;B1610;;;;;;PRINCIPALE;
19422;Servant / Servante d'arme;Servant / Servante d'arme;K1701;;;;;;SYNONYME;
19423;Servant / Servante de machine en construction mécanique;Servant / Servante de machine en construction mécanique;H2906;;;;;;SYNONYME;
19424;Serveur / Serveuse de banquet;Serveur / Serveuse de banquet;G1803;;;;;;SYNONYME;
19425;Serveur / Serveuse de bar;Serveur / Serveuse de bar;G1801;;;;;;SYNONYME;
19426;Serveur / Serveuse de bar-brasserie;Serveur / Serveuse de bar-brasserie;G1801;;;;;;SYNONYME;
19427;Serveur / Serveuse de restaurant;Serveur / Serveuse de restaurant;G1803;;;;;;SYNONYME;
19428;Serveur / Serveuse de room service;Serveur / Serveuse de room service;G1803;;;;;;SYNONYME;
19429;Serveur / Serveuse de salon de thé;Serveur / Serveuse de salon de thé;G1801;;;;;;SYNONYME;
19430;Serveur / Serveuse en restauration;Serveur / Serveuse en restauration;G1803;;;;;;SYNONYME;
19431;Sexeur / Sexeuse de volailles;Sexeur / Sexeuse de volailles;A1403;;;;;;SYNONYME;
19432;Ship manager;Ship manager;N3201;;;;;;SYNONYME;
19433;Silhouette;Silhouette;L1203;;;;;;SYNONYME;
19434;Simulateur / Simulatrice d'impression en industrie graphique;Simulateur / Simulatrice d'impression en industrie graphique;E1308;;;;;;SYNONYME;
19435;Sismologue;Sismologue;F1105;;;;;;SYNONYME;
19436;Skieur professionnel / Skieuse professionnelle;Skieur professionnel / Skieuse professionnelle;L1401;;;;;;SYNONYME;
19437;Skipper professionnel / professionnelle;Skipper professionnel / professionnelle;L1401;;;;;;SYNONYME;
19438;Sociologue;Sociologue;K2401;;;;;;SYNONYME;
19439;Sociologue chercheur / chercheuse;Sociologue chercheur / chercheuse;K2401;;;;;;SYNONYME;
19441;Soigneur animalier / Soigneuse animalière;Soigneur animalier / Soigneuse animalière;A1501;;;;;;PRINCIPALE;
19442;Soigneur / Soigneuse de chevaux;Soigneur / Soigneuse de chevaux;A1501;;;;;;SYNONYME;
19443;Soigneur / Soigneuse de continu à filer;Soigneur / Soigneuse de continu à filer;H2404;;;;;;SYNONYME;
19444;Soigneur / Soigneuse de gills en industrie textile;Soigneur / Soigneuse de gills en industrie textile;H2404;;;;;;SYNONYME;
19445;Soigneur / Soigneuse de ménagerie;Soigneur / Soigneuse de ménagerie;A1501;;;;;;SYNONYME;
19446;Soigneur / Soigneuse de métier Open-End;Soigneur / Soigneuse de métier Open-End;H2404;;;;;;SYNONYME;
