MEF,FORMATION_DIPLOME,MEF_STAT_11
3113231621,32032316,32211032316
3113231622,32032316,32221032316
3112420521,32024205,32211024205
3112420522,32024205,32221024205
3162300821,32123008,32610023008
3162300822,32123008,32620023008
3163220421,32132204,32610032204
3163220422,32132204,32620032204
3162300921,32123009,32610023009
3162300922,32123009,32620023009
3162410221,32124102,32610024102
3162410222,32124102,32620024102
4102410121,24024101,32810024101
4102410122,24024101,32820024101
3133310731,32233107,32312033107
3133310732,32233107,32322033107
3113310122,32033101,32221033101
2463140122,40031401,23720031401
2222230811,42022308,22133122308
2463120122,40031201,23720031201
2463110121,40031101,23710031101
2463110122,40031101,23720031101
2463120221,40031202,23710031202
2903310111,46033101,51110033101
2903310211,46033102,51110033102
3011000121,37010001,31111210001
3011000222,37010002,31121210002
3103210511,32032105,32111032105
3011000322,37010003,31121210003
3011100221,37011002,31111111002
3011100321,37011003,31111111003
3011100322,37011003,31121111003
3011100422,37011004,31121111004
3011100521,37011005,31111111005
2112400211,43024002,22122124002
2122400211,43024002,22132124002
2112400111,43024001,22122824001
2122400111,43024001,22132824001
2112340211,43023402,22122123402
2122340211,43023402,22132123402
2112340111,43023401,22122823401
2122340111,43023401,22132823401
2123100311,43031003,22132831003
2113260111,43032601,22122832601
2123260111,43032601,22132832601
2123120111,43031201,22132831201
3102540211,32025402,32111025402
2123200111,43032001,22132532001
2123310211,43033102,22132433102
2113310111,43033101,22122833101
2123310111,43033101,22132833101
2113340111,43033401,22122533401
2123340111,43033401,22132533401
2123100811,43031008,22132231008
3011300321,37013003,31111213003
3011300122,37013001,31121213001
2123140111,43031401,22132231401
3112540421,32025404,32211025404
3112540422,32025404,32221025404
3112540521,32025405,32211025405
3112540522,32025405,32221025405
3112540621,32025406,32211025406
3112540721,32025407,32211025407
3112540722,32025407,32221025407
3112540121,32025401,32211025401
3112540122,32025401,32221025401
3112010122,32020101,32221020101
3112010221,32020102,32211020102
3112010222,32020102,32221020102
3112520221,32025202,32211025202
3112520222,32025202,32221025202
3112540221,32025402,32211025402
3112510121,32025101,32211025101
3112510122,32025101,32221025101
3112010321,32020103,32211020103
3112010322,32020103,32221020103
3112540222,32025402,32221025402
3112010421,32020104,32211020104
3112010422,32020104,32221020104
3112510321,32025103,32211025103
3112510322,32025103,32221025103
3112510421,32025104,32211025104
3112510422,32025104,32221025104
3112000221,32020002,32211020002
3112000222,32020002,32221020002
3112520521,32025205,32211025205
2213340411,42033404,22123133404
2011200411,47012004,22121812004
2223340411,42033404,22133133404
3112520422,32025204,32221025204
